"","contrast","neighborhood","estimate","SE","df","z.ratio","p.value"
"19","Winter - Spring","massachusetts_3",1.87606630854289,0.463447811506657,Inf,4.04806379912303,0.000301252000091901
"20","Winter - Summer","massachusetts_3",-0.15559186673221,0.460407517503009,Inf,-0.337943801560957,0.986716131482112
"21","Winter - Fall","massachusetts_3",0.285313854320568,0.461405218342006,Inf,0.618358533841041,0.926258324568669
"22","Spring - Summer","massachusetts_3",-2.0316581752751,0.460883462187441,Inf,-4.40818198516489,6.15586353890363e-05
"23","Spring - Fall","massachusetts_3",-1.59075245422232,0.461880134946106,Inf,-3.44408069077909,0.00321341135491993
"24","Summer - Fall","massachusetts_3",0.440905721052778,0.458829453327493,Inf,0.960935959658366,0.771653239049687
"25","Winter - Spring","massachusetts_4",1.87606630854289,0.463447811506657,Inf,4.04806379912303,0.000301252000091901
"26","Winter - Summer","massachusetts_4",-0.155591866732208,0.460407517503009,Inf,-0.337943801560954,0.986716131482113
"27","Winter - Fall","massachusetts_4",0.285313854320569,0.461405218342006,Inf,0.618358533841043,0.926258324568669
"28","Spring - Summer","massachusetts_4",-2.0316581752751,0.460883462187441,Inf,-4.40818198516489,6.15586353890363e-05
"29","Spring - Fall","massachusetts_4",-1.59075245422232,0.461880134946106,Inf,-3.44408069077909,0.00321341135491993
"30","Summer - Fall","massachusetts_4",0.440905721052778,0.458829453327493,Inf,0.960935959658364,0.771653239049688
"31","Winter - Spring","massachusetts_5",1.06159409815686,0.605485442710707,Inf,1.75329417236555,0.296176316972461
"32","Winter - Summer","massachusetts_5",-0.264037539152066,0.508056437068302,Inf,-0.519701198307167,0.954390209354746
"33","Winter - Fall","massachusetts_5",0.3665917057381,0.510027538259271,Inf,0.718768455109857,0.889672188184209
"34","Spring - Summer","massachusetts_5",-1.32563163730892,0.588614497376843,Inf,-2.25212196304473,0.10949696504464
"35","Spring - Fall","massachusetts_5",-0.695002392418757,0.590316671845263,Inf,-1.17733824160219,0.64120385241536
"36","Summer - Fall","massachusetts_5",0.630629244890166,0.489880082234852,Inf,1.28731350336436,0.571019795326023
"37","Winter - Spring","massachusetts_6",1.06159409815686,0.605485442710707,Inf,1.75329417236556,0.296176316972457
"38","Winter - Summer","massachusetts_6",-0.264037539152061,0.508056437068302,Inf,-0.519701198307157,0.954390209354749
"39","Winter - Fall","massachusetts_6",0.366591705738103,0.510027538259271,Inf,0.718768455109864,0.889672188184206
"40","Spring - Summer","massachusetts_6",-1.32563163730892,0.588614497376843,Inf,-2.25212196304473,0.10949696504464
"41","Spring - Fall","massachusetts_6",-0.695002392418758,0.590316671845263,Inf,-1.17733824160219,0.641203852415359
"42","Summer - Fall","massachusetts_6",0.630629244890165,0.489880082234852,Inf,1.28731350336435,0.571019795326024
"43","Winter - Spring","delaware_1",1.7275144329301,0.455321878148726,Inf,3.79405101277789,0.000853351892543652
"44","Winter - Summer","delaware_1",1.05935814314566,0.453922048367515,Inf,2.3337886911542,0.0904648998630584
"45","Winter - Fall","delaware_1",1.28690466337584,0.454665138377367,Inf,2.83044499072133,0.0240399966710516
"46","Spring - Summer","delaware_1",-0.668156289784446,0.454122533863659,Inf,-1.47131278445884,0.454939107232625
"47","Spring - Fall","delaware_1",-0.440609769554267,0.454865296350798,Inf,-0.968659893575312,0.767308789752882
"48","Summer - Fall","delaware_1",0.22754652023018,0.453464057117625,Inf,0.501796154862955,0.958667184099885
"49","Winter - Spring","new york_1",4.09715177090082,0.479856369688768,Inf,8.53828776631267,3.65263375101677e-14
"50","Winter - Summer","new york_1",2.55303531727542,0.484793332136213,Inf,5.26623438904497,8.32608550660474e-07
