date,month,pm2.5_dailymean,aqi,units,site_name,site_id,state,method_code,method_desc,lat,long
2020-09-03,9,8.3,46,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-06,9,7,39,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-09,9,6.6,37,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-12,9,3.7,21,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-15,9,4.7,26,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-18,9,5.5,31,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-21,9,5.2,29,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-09-24,9,10.2,53,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-03,10,7,39,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
2020-10-06,10,7.6,42,ug/m3 LC,BOSTON KENMORE SQ,250250002,Massachusetts,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,42.34887271,-71.09716279
